PebbleCounts,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area,,Correction Factor:,,,,,
,,,,,,,,,,,,3.18E-05,,,,corrected diameter (mm),correction
-104.7011275,32.23268288,58.70171742,51.96730923,3.50E-06,3.09E-06,1359,4.82E-12,-0.13133293,2389.351914,43.12265213,,,,,,293.1,
-104.701112,32.23278407,250.7225686,126.6119312,1.49E-05,7.54E-06,16328,5.79E-11,-2.105166204,24863.77932,34.33017649,,,,,,714.0,
-104.7011155,32.23277442,118.6639198,37.28469694,7.07E-06,2.22E-06,1853,6.57E-12,-0.867259955,3465.360247,46.52792587,,,,,,210.3,
-104.7011121,32.23277406,30.33877807,21.96822551,1.81E-06,1.31E-06,458,1.62E-12,-1.908888652,522.0260126,12.26490846,,,,,,123.9,
-104.7011126,32.23277138,24.70152956,21.78931831,1.47E-06,1.30E-06,390,1.38E-12,-1.016353435,421.5669646,7.488007196,,,,,,122.9,
-104.701118,32.23276429,60.46938023,36.0854766,3.60E-06,2.15E-06,1383,4.91E-12,-2.413720242,1709.098308,19.08013756,,,,,,203.5,
-104.7011137,32.23275584,52.09927548,21.57131411,3.10E-06,1.28E-06,697,2.47E-12,-0.212113796,880.2527043,20.81819271,,,,,,121.6,
-104.7011291,32.23274208,45.3172751,39.13277777,2.70E-06,2.33E-06,1051,3.73E-12,-2.525543679,1389.004159,24.33427983,,,,,,220.7,
-104.7011008,32.23273029,38.18608535,25.06737437,2.27E-06,1.49E-06,644,2.28E-12,-2.27878437,749.7441181,14.1040277,,,,,,141.4,
-104.7011298,32.23272552,60.09638941,34.4994914,3.58E-06,2.05E-06,1174,4.16E-12,-0.555336478,1623.903262,27.70505318,,,,,,194.5,
-104.7011282,32.23271623,72.17162459,48.2329421,4.30E-06,2.87E-06,1300,4.61E-12,-0.986417209,2726.523947,52.32024272,,,,,,272.0,
-104.7011357,32.2327154,111.5564603,49.43481337,6.64E-06,2.94E-06,2159,7.66E-12,-0.340912579,4319.432643,50.01658369,,,,,,278.8,
-104.7011339,32.23271224,91.4988249,54.85995105,5.45E-06,3.27E-06,1750,6.21E-12,-0.092761489,3931.606221,55.48892993,,,,,,309.4,
-104.7011409,32.23270349,58.56832721,24.79210086,3.49E-06,1.48E-06,780,2.77E-12,-0.756176084,1137.300504,31.41654318,,,,,,139.8,
-104.7011391,32.23270117,78.10279634,21.79529639,4.65E-06,1.30E-06,935,3.32E-12,-2.83732819,1333.301734,29.87333804,,,,,,122.9,
-104.7011493,32.23269444,271.4063581,159.9210736,1.62E-05,9.52E-06,24169,8.57E-11,-0.573348746,33995.76319,28.9058467,,,,,,901.8,
-104.7011254,32.23268223,41.4586894,24.58299243,2.47E-06,1.46E-06,663,2.35E-12,-0.215104626,798.2692454,16.9453159,,,,,,138.6,
-104.7011491,32.23268026,59.15091543,25.39772528,3.52E-06,1.51E-06,973,3.45E-12,-0.885201783,1176.671874,17.30914783,,,,,,143.2,
-104.7011038,32.23277954,107.2249749,37.85360404,6.39E-06,2.25E-06,1760,6.24E-12,-2.423035018,3179.08595,44.638175,,,,,,213.5,
-104.7011186,32.23267234,101.5492457,42.35978531,6.05E-06,2.52E-06,1902,6.75E-12,-2.839312887,3369.221269,43.54778603,,,,,,238.9,
-104.7011401,32.23266037,160.1032632,76.67431766,9.53E-06,4.57E-06,7737,2.74E-11,-2.175225627,9614.997702,19.53196205,,,,,,432.4,
-104.7011498,32.2326593,225.5894107,100.1498059,1.34E-05,5.96E-06,15170,5.38E-11,-2.643234018,17695.70636,14.27298979,,,,,,564.8,
-104.701137,32.23265054,187.1218467,78.79216534,1.11E-05,4.69E-06,6473,2.30E-11,-2.032535389,11547.99566,43.94698274,,,,,,444.3,
-104.7011495,32.23264917,175.7919225,104.4401631,1.05E-05,6.22E-06,12896,4.57E-11,-0.77887154,14380.22027,10.32126242,,,,,,589.0,
-104.7011267,32.23264882,193.3633563,71.61488697,1.15E-05,4.26E-06,7851,2.78E-11,-2.121260909,10846.17401,27.6150282,,,,,,403.8,
-104.7011211,32.23264548,81.4020582,41.20896657,4.85E-06,2.45E-06,2385,8.46E-12,-0.289609186,2627.39997,9.225849628,,,,,,232.4,
-104.7011471,32.23264018,154.7418601,80.60564859,9.22E-06,4.80E-06,8283,2.94E-11,-2.43583384,9769.500765,15.21572904,,,,,,454.5,
-104.7011526,32.23263696,59.2226592,57.10110307,3.53E-06,3.40E-06,2074,7.36E-12,-1.422789184,2648.692143,21.6972042,,,,,,322.0,
-104.7011459,32.23262684,151.049587,58.32300806,9.00E-06,3.47E-06,5670,2.01E-11,-0.095176755,6900.150104,17.82787455,,,,,,328.9,
-104.7011129,32.23267561,30.11456952,21.92228549,1.79E-06,1.31E-06,443,1.57E-12,-1.282142144,517.0845599,14.32735874,,,,,,123.6,
-104.7011198,32.23267008,32.81954662,25.17935785,1.95E-06,1.50E-06,439,1.56E-12,-1.548445886,647.2563332,32.17524843,,,,,,142.0,
-104.7011309,32.23264614,72.06976305,32.51205639,4.29E-06,1.94E-06,1359,4.82E-12,-0.867040708,1835.255841,25.95037871,,,,,,183.3,
-104.7011255,32.23264143,36.33409261,25.62494318,2.16E-06,1.53E-06,632,2.24E-12,-3.054075234,729.2497873,13.3355935,,,,,,144.5,
-104.7011371,32.23263053,90.86364422,40.82543155,5.41E-06,2.43E-06,1519,5.39E-12,-0.000920448,2905.494224,47.71973774,,,,,,230.2,
-104.7011221,32.23267097,26.65999252,21.48560069,1.59E-06,1.28E-06,364,1.29E-12,-3.115129673,448.6488973,18.86751485,,,,,,121.2,
-104.7011233,32.23264357,47.13873386,29.8721348,2.81E-06,1.78E-06,908,3.22E-12,-0.598270929,1102.918077,17.67294244,,,,,,168.5,
-104.7011456,32.23263268,184.9722182,45.69385948,1.10E-05,2.72E-06,3523,1.25E-11,-0.040557276,6620.082898,46.78314375,,,,,,257.7,
-104.7011454,32.23253495,247.9185883,113.80151,1.48E-05,6.78E-06,16985,6.02E-11,-1.868494536,22098.16418,23.13841159,,,,,,641.7,
-104.70114,32.23252125,106.6356912,43.39501328,6.35E-06,2.58E-06,1359,4.82E-12,-0.350258911,3624.444846,62.50460256,,,,,,244.7,
-104.7011494,32.23250916,92.96615139,55.592704,5.54E-06,3.31E-06,3250,1.15E-11,-0.753301145,4048.011448,19.7136658,,,,,,313.5,
-104.701143,32.23245967,147.942657,105.4793164,8.81E-06,6.28E-06,10114,3.59E-11,-0.25386534,12222.49314,17.25092515,,,,,,594.8,
-104.7011334,32.23254489,31.28858447,23.78618642,1.86E-06,1.42E-06,503,1.78E-12,-1.581118044,582.9211529,13.71045682,,,,,,134.1,
-104.7011244,32.23253506,42.25139803,30.12611903,2.52E-06,1.79E-06,778,2.76E-12,-3.118274621,996.9728981,21.9637764,,,,,,169.9,
-104.7011348,32.23253489,25.41426524,24.10984656,1.51E-06,1.44E-06,422,1.50E-12,-2.312104158,479.9224721,12.06913105,,,,,,136.0,
-104.7011307,32.23253334,37.66049728,21.22067449,2.24E-06,1.26E-06,487,1.73E-12,-2.647006461,625.9567331,22.19909552,,,,,,119.7,
-104.7011375,32.23253292,30.25928861,22.5254918,1.80E-06,1.34E-06,479,1.70E-12,-0.391782811,533.8657708,10.27707221,,,,,,127.0,
-104.7011341,32.23252994,32.89744987,25.27938115,1.96E-06,1.51E-06,538,1.91E-12,-2.766995531,651.3700009,17.4048545,,,,,,142.6,
-104.7011434,32.23252125,54.80029461,46.97892043,3.26E-06,2.80E-06,1713,6.08E-12,-2.281267194,2016.438622,15.0482449,,,,,,264.9,
-104.7011177,32.23247337,123.5457675,69.40044561,7.36E-06,4.13E-06,4586,1.63E-11,-1.153465595,6715.667909,31.71193004,,,,,,391.4,
-104.7011323,32.23245699,88.88576258,38.12703564,5.29E-06,2.27E-06,1646,5.84E-12,-2.158866582,2654.387506,37.98946098,,,,,,215.0,
-104.701121,32.23245633,24.49307338,20.89002493,1.46E-06,1.24E-06,336,1.19E-12,-0.395331379,400.7571903,16.15870954,,,,,,117.8,
-104.7011395,32.23252262,62.85968598,22.03418494,3.74E-06,1.31E-06,891,3.16E-12,-0.153085219,1084.846466,17.86856228,,,,,,124.3,
-104.7011084,32.23237689,289.0329412,181.6326054,1.72E-05,1.08E-05,29371,1.04E-10,-2.665741745,41118.78148,28.57035413,,,,,,1024.3,
-104.7011513,32.2323745,76.4087669,60.48513757,4.55E-06,3.60E-06,3368,1.19E-11,-2.724881665,3619.853089,6.95755,,,,,,341.1,
-104.7011495,32.2323692,55.32067595,36.5287651,3.29E-06,2.18E-06,1323,4.69E-12,-2.556445563,1582.78363,16.41308548,,,,,,206.0,
-104.7011535,32.23236206,122.1095973,30.34200062,7.27E-06,1.81E-06,1836,6.51E-12,-2.324693287,2901.971168,36.73265881,,,,,,171.1,
-104.7010844,32.23235848,87.5214225,41.56518472,5.21E-06,2.48E-06,1989,7.05E-12,-3.117373745,2849.332711,30.19418222,,,,,,234.4,
-104.7011328,32.23235229,103.1558606,88.80498072,6.14E-06,5.29E-06,4770,1.69E-11,-2.390872485,7175.13889,33.52045064,,,,,,500.8,
-104.7010764,32.2323514,49.67472519,36.04193983,2.96E-06,2.15E-06,1283,4.55E-12,-0.994754295,1402.30574,8.507826572,,,,,,203.2,
-104.7010845,32.23234419,161.6214954,53.82020469,9.63E-06,3.21E-06,5322,1.89E-11,-2.953615683,6813.080921,21.88556012,,,,,,303.5,
-104.7011379,32.23243614,38.97103885,26.06170071,2.32E-06,1.55E-06,720,2.55E-12,-2.992853109,795.5066553,9.491643445,,,,,,147.0,
-104.7011386,32.23237885,33.05443862,21.78894931,1.97E-06,1.30E-06,479,1.70E-12,-1.442689301,564.1117625,15.08774823,,,,,,122.9,
-104.7011572,32.2323701,27.34134537,22.10486245,1.63E-06,1.32E-06,422,1.50E-12,-0.456001042,473.3765924,10.85321777,,,,,,124.7,
-104.7010789,32.23236289,61.08236732,34.16670203,3.64E-06,2.03E-06,1429,5.07E-12,-2.435268951,1634.624492,12.57931059,,,,,,192.7,
-104.7010889,32.23236015,120.2127497,62.43733023,7.16E-06,3.72E-06,3457,1.23E-11,-1.532425578,5878.871088,41.19619315,,,,,,352.1,
-104.7010772,32.23236057,61.06604673,42.2140568,3.64E-06,2.51E-06,1732,6.14E-12,-3.019106828,2019.091392,14.21884086,,,,,,238.1,
-104.7010924,32.23233859,133.5303889,58.94180344,7.95E-06,3.51E-06,3092,1.10E-11,-2.210407332,6164.56754,49.84238586,,,,,,332.4,
-104.7011431,32.23232644,29.97590962,25.9426244,1.79E-06,1.54E-06,559,1.98E-12,-1.458574861,609.0954564,8.224565764,,,,,,146.3,
-104.7010941,32.23238064,176.7450712,80.76617293,1.05E-05,4.81E-06,8229,2.92E-11,-1.891482696,11180.87771,26.40112688,,,,,,455.5,
-104.7011425,32.23235396,107.9823046,59.44591981,6.43E-06,3.54E-06,3974,1.41E-11,-1.307317373,5027.750579,20.95868843,,,,,,335.2,
-104.7011336,32.23235497,121.3753347,44.36152848,7.23E-06,2.64E-06,2963,1.05E-11,-2.813247033,4217.314831,29.74202499,,,,,,250.2,
-104.7011383,32.23235235,63.35675614,41.63699049,3.77E-06,2.48E-06,1814,6.43E-12,-0.199716774,2066.195189,12.20577757,,,,,,234.8,
-104.7010955,32.23234699,49.71027994,32.89995719,2.96E-06,1.96E-06,594,2.11E-12,-1.163261878,1280.974909,53.62906829,,,,,,185.5,
-104.7011235,32.23233871,51.53916874,20.08174539,3.07E-06,1.20E-06,613,2.17E-12,-0.516741624,810.6585123,24.38246306,,,,,,113.2,
-104.7010962,32.23233603,28.06030126,24.68610252,1.67E-06,1.47E-06,475,1.68E-12,-3.131066492,542.5552109,12.45130625,,,,,,139.2,
-104.7011457,32.23231507,70.97523263,46.29252993,4.23E-06,2.76E-06,1976,7.01E-12,-2.231183863,2573.456443,23.21610862,,,,,,261.1,
-104.7011538,32.2323137,86.12427724,60.57681469,5.13E-06,3.61E-06,2351,8.34E-12,-2.104906745,4086.308065,42.46640334,,,,,,341.6,
