PebbleCounts,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area,,Corrected Area,Correction Factor:,,,,
,,,,,,,,,,,,,6.38E-05,,,corrected diameter (mm),conversion
-104.7015634,32.23615362,42.90300597,24.103152,3.64E-06,2.04E-06,583,4.20E-12,-1.50623754,809.9545374,28.02065139,,0.037204905,,,,192.5,
-104.7015593,32.23615379,36.546862,28.44500101,3.10E-06,2.41E-06,746,5.37E-12,-2.956484807,814.2450522,8.381389856,,0.047606962,,,,227.2,
-104.7016521,32.23615142,96.79969923,46.44053983,8.21E-06,3.94E-06,2912,2.10E-11,-2.94423815,3521.035052,17.29704599,,0.185833076,,,,371.0,
-104.7015751,32.23615108,41.6254533,32.47749599,3.53E-06,2.76E-06,731,5.26E-12,-2.167576546,1058.865005,30.96381532,,0.046649718,,,,259.4,
-104.7015492,32.23615108,54.91505414,20.88884,4.66E-06,1.77E-06,667,4.80E-12,-2.809002474,898.472566,25.76289748,,0.042565475,,,,166.9,
-104.7015655,32.23618832,49.12992467,26.73442426,4.17E-06,2.27E-06,830,5.97E-12,-3.061751607,1028.764609,19.32070824,,0.052967532,,,,213.6,
-104.7015559,32.23618578,28.15984394,20.15933391,2.39E-06,1.71E-06,374,2.69E-12,-1.014796918,444.6369019,15.88642365,,0.023867298,,,,161.0,
-104.7015595,32.23618255,37.50902858,21.45511947,3.18E-06,1.82E-06,380,2.73E-12,-0.441878238,630.326891,39.71382065,,0.024250195,,,,171.4,
-104.7015618,32.23618145,28.65220478,23.2780578,2.43E-06,1.97E-06,377,2.71E-12,-1.636866466,522.4008441,27.83319471,,0.024058746,,,,186.0,
-104.7015776,32.23617407,62.02237541,32.54838316,5.26E-06,2.76E-06,847,6.10E-12,-2.668812592,1581.163922,46.43186655,,0.054052409,,,,260.0,
-104.7015825,32.23617466,40.59249621,20.80221353,3.44E-06,1.76E-06,582,4.19E-12,-2.807426087,661.3850745,12.00285243,,0.037141089,,,,166.2,
-104.7015721,32.23616245,45.99476933,39.40902965,3.90E-06,3.34E-06,888,6.39E-12,-2.018477823,1419.721855,37.45253716,,0.056668878,,,,314.8,
-104.7015557,32.23615176,35.21667281,20.84610813,2.99E-06,1.77E-06,439,3.16E-12,-2.646853604,575.0060178,23.65297294,,0.028015357,,,,166.5,
-104.7016042,32.23614743,29.580054,27.10954859,2.51E-06,2.30E-06,560,4.03E-12,-0.778213041,628.0877597,10.84048506,,0.03573713,,,,216.6,
-104.7015375,32.23612571,44.1645461,22.08769501,3.75E-06,1.87E-06,540,3.89E-12,-1.381712296,764.0525851,29.32423625,,0.034460804,,,,176.4,
-104.7015434,32.23612435,91.2747979,45.43497763,7.74E-06,3.85E-06,2291,1.65E-11,-2.789347636,3248.181436,29.46822567,,0.146203152,,,,363.0,
-104.7015282,32.23612155,66.66604002,24.82460634,5.66E-06,2.11E-06,846,6.09E-12,-0.73357656,1296.242063,34.73441236,,0.053988593,,,,198.3,
-104.701531,32.23611833,50.3489628,25.01114292,4.27E-06,2.12E-06,628,4.52E-12,-1.208817743,986.3320553,36.32975866,,0.040076639,,,,199.8,
-104.7015355,32.23611553,56.71602132,26.91221353,4.81E-06,2.28E-06,852,6.13E-12,-0.410965974,1195.512877,28.73351543,,0.054371491,,,,215.0,
-104.7014913,32.23617593,107.5670087,75.1817507,9.13E-06,6.38E-06,4664,3.36E-11,-2.750579921,6334.18302,26.36777331,,0.29763924,,,,600.6,
-104.7014924,32.23616609,153.69063,114.2014008,1.30E-05,9.69E-06,10923,7.86E-11,-1.488278362,13747.3156,20.54448798,,0.697065484,,,,912.3,
